sample_id,signer_id,session_id,label_index,label,take,file_path,recorded_at,duration_sec,fps,width,height,camera_index,saved_mirrored,status
S001_01_001,S001,20260807_153956,1,ㄱ,1,S001/01_ㄱ/S001_01_001.mp4,2026-08-07T15:40:09+09:00,4.033,30.0,1280,720,0,False,accepted
S001_01_002,S001,20260807_153956,1,ㄱ,2,S001/01_ㄱ/S001_01_002.mp4,2026-08-07T15:40:20+09:00,4.067,30.0,1280,720,0,False,accepted
S001_01_003,S001,20260807_153956,1,ㄱ,3,S001/01_ㄱ/S001_01_003.mp4,2026-08-07T15:40:28+09:00,4.067,30.0,1280,720,0,False,accepted
S001_01_004,S001,20260807_153956,1,ㄱ,4,S001/01_ㄱ/S001_01_004.mp4,2026-08-07T15:40:36+09:00,4.033,30.0,1280,720,0,False,accepted
S001_01_005,S001,20260807_153956,1,ㄱ,5,S001/01_ㄱ/S001_01_005.mp4,2026-08-07T15:40:45+09:00,4.067,30.0,1280,720,0,False,accepted
S001_01_006,S001,20260807_153956,1,ㄱ,6,S001/01_ㄱ/S001_01_006.mp4,2026-08-07T15:40:53+09:00,4.067,30.0,1280,720,0,False,accepted
S001_01_007,S001,20260807_153956,1,ㄱ,7,S001/01_ㄱ/S001_01_007.mp4,2026-08-07T15:41:13+09:00,4.033,30.0,1280,720,0,False,accepted
S001_01_008,S001,20260807_153956,1,ㄱ,8,S001/01_ㄱ/S001_01_008.mp4,2026-08-07T15:41:21+09:00,4.067,30.0,1280,720,0,False,accepted
S001_01_009,S001,20260807_153956,1,ㄱ,9,S001/01_ㄱ/S001_01_009.mp4,2026-08-07T15:41:30+09:00,4.067,30.0,1280,720,0,False,accepted
S001_01_010,S001,20260807_153956,1,ㄱ,10,S001/01_ㄱ/S001_01_010.mp4,2026-08-07T15:41:38+09:00,4.067,30.0,1280,720,0,False,accepted
S001_02_001,S001,20260807_154456,2,ㄴ,1,S001/02_ㄴ/S001_02_001.mp4,2026-08-07T15:45:30+09:00,4.000,30.0,1280,720,0,False,accepted
S001_02_002,S001,20260807_154456,2,ㄴ,2,S001/02_ㄴ/S001_02_002.mp4,2026-08-07T15:45:38+09:00,4.033,30.0,1280,720,0,False,accepted
S001_02_003,S001,20260807_154456,2,ㄴ,3,S001/02_ㄴ/S001_02_003.mp4,2026-08-07T15:45:56+09:00,4.033,30.0,1280,720,0,False,accepted
S001_02_004,S001,20260807_154456,2,ㄴ,4,S001/02_ㄴ/S001_02_004.mp4,2026-08-07T15:46:04+09:00,4.033,30.0,1280,720,0,False,accepted
S001_02_005,S001,20260807_154456,2,ㄴ,5,S001/02_ㄴ/S001_02_005.mp4,2026-08-07T15:47:06+09:00,4.033,30.0,1280,720,0,False,accepted
S001_02_006,S001,20260807_154456,2,ㄴ,6,S001/02_ㄴ/S001_02_006.mp4,2026-08-07T15:47:13+09:00,4.067,30.0,1280,720,0,False,accepted
S001_02_007,S001,20260807_154456,2,ㄴ,7,S001/02_ㄴ/S001_02_007.mp4,2026-08-07T15:47:21+09:00,4.067,30.0,1280,720,0,False,accepted
S001_02_008,S001,20260807_154456,2,ㄴ,8,S001/02_ㄴ/S001_02_008.mp4,2026-08-07T15:47:29+09:00,4.067,30.0,1280,720,0,False,accepted
S001_02_009,S001,20260807_154456,2,ㄴ,9,S001/02_ㄴ/S001_02_009.mp4,2026-08-07T15:47:37+09:00,4.000,30.0,1280,720,0,False,accepted
S001_02_010,S001,20260807_221112,2,ㄴ,10,S001/02_ㄴ/S001_02_010.mp4,2026-08-07T22:11:45+09:00,4.033,30.0,1280,720,0,False,accepted
S001_02_011,S001,20260807_221112,2,ㄴ,11,S001/02_ㄴ/S001_02_011.mp4,2026-08-07T22:11:54+09:00,4.033,30.0,1280,720,0,False,accepted
S001_02_012,S001,20260807_221112,2,ㄴ,12,S001/02_ㄴ/S001_02_012.mp4,2026-08-07T22:12:02+09:00,4.067,30.0,1280,720,0,False,accepted
S001_02_013,S001,20260807_221112,2,ㄴ,13,S001/02_ㄴ/S001_02_013.mp4,2026-08-07T22:12:10+09:00,4.067,30.0,1280,720,0,False,accepted
S001_02_014,S001,20260807_221112,2,ㄴ,14,S001/02_ㄴ/S001_02_014.mp4,2026-08-07T22:12:19+09:00,4.033,30.0,1280,720,0,False,accepted
S001_02_015,S001,20260807_221112,2,ㄴ,15,S001/02_ㄴ/S001_02_015.mp4,2026-08-07T22:12:27+09:00,4.067,30.0,1280,720,0,False,accepted
S001_02_016,S001,20260807_221112,2,ㄴ,16,S001/02_ㄴ/S001_02_016.mp4,2026-08-07T22:12:35+09:00,4.067,30.0,1280,720,0,False,accepted
S001_02_017,S001,20260807_221112,2,ㄴ,17,S001/02_ㄴ/S001_02_017.mp4,2026-08-07T22:12:43+09:00,4.067,30.0,1280,720,0,False,accepted
S001_02_018,S001,20260807_221112,2,ㄴ,18,S001/02_ㄴ/S001_02_018.mp4,2026-08-07T22:12:51+09:00,4.067,30.0,1280,720,0,False,accepted
S001_02_019,S001,20260807_221112,2,ㄴ,19,S001/02_ㄴ/S001_02_019.mp4,2026-08-07T22:12:59+09:00,4.067,30.0,1280,720,0,False,accepted
S001_03_001,S001,20260807_154456,3,ㄷ,1,S001/03_ㄷ/S001_03_001.mp4,2026-08-07T15:48:10+09:00,3.867,30.0,1280,720,0,False,accepted
S001_03_002,S001,20260807_154456,3,ㄷ,2,S001/03_ㄷ/S001_03_002.mp4,2026-08-07T15:48:18+09:00,4.033,30.0,1280,720,0,False,accepted
S001_03_003,S001,20260807_154456,3,ㄷ,3,S001/03_ㄷ/S001_03_003.mp4,2026-08-07T15:48:26+09:00,4.067,30.0,1280,720,0,False,accepted
S001_03_004,S001,20260807_154456,3,ㄷ,4,S001/03_ㄷ/S001_03_004.mp4,2026-08-07T15:48:34+09:00,4.067,30.0,1280,720,0,False,accepted
S001_03_005,S001,20260807_154456,3,ㄷ,5,S001/03_ㄷ/S001_03_005.mp4,2026-08-07T15:48:42+09:00,4.033,30.0,1280,720,0,False,accepted
S001_03_006,S001,20260807_154456,3,ㄷ,6,S001/03_ㄷ/S001_03_006.mp4,2026-08-07T15:48:50+09:00,4.067,30.0,1280,720,0,False,accepted
S001_03_007,S001,20260807_154456,3,ㄷ,7,S001/03_ㄷ/S001_03_007.mp4,2026-08-07T15:48:58+09:00,4.067,30.0,1280,720,0,False,accepted
S001_03_008,S001,20260807_154456,3,ㄷ,8,S001/03_ㄷ/S001_03_008.mp4,2026-08-07T15:49:06+09:00,4.067,30.0,1280,720,0,False,accepted
S001_03_009,S001,20260807_154456,3,ㄷ,9,S001/03_ㄷ/S001_03_009.mp4,2026-08-07T15:49:14+09:00,4.067,30.0,1280,720,0,False,accepted
S001_04_001,S001,20260807_221311,4,ㄹ,1,S001/04_ㄹ/S001_04_001.mp4,2026-08-07T22:13:29+09:00,4.0,30.0,1280,720,0,False,accepted
S001_04_002,S001,20260807_221311,4,ㄹ,2,S001/04_ㄹ/S001_04_002.mp4,2026-08-07T22:13:37+09:00,4.067,30.0,1280,720,0,False,accepted
